ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-01,75058.96625849546,27353.871011408453,120158.73649352892,75058.96625849546,75058.96625849546,57.45887455653177,57.45887455653177,57.45887455653177,57.45887455653177,57.45887455653177,57.45887455653177,0.0,0.0,0.0,75116.42513305199
2022-01-02,75054.64440778324,30337.25402205363,114528.9126406009,75054.64440778324,75054.64440778324,-25.13847534346266,-25.13847534346266,-25.13847534346266,-25.13847534346266,-25.13847534346266,-25.13847534346266,0.0,0.0,0.0,75029.50593243977
2022-01-03,75050.32255707103,29968.65379029357,116807.5322988112,75050.32255707103,75050.47132810172,-217.5926262366029,-217.5926262366029,-217.5926262366029,-217.5926262366029,-217.5926262366029,-217.5926262366029,0.0,0.0,0.0,74832.72993083444
2022-01-04,75046.00070635881,27431.29168433177,116958.0359663284,75045.42019028965,75046.53789383773,-159.28012181906158,-159.28012181906158,-159.28012181906158,-159.28012181906158,-159.28012181906158,-159.28012181906158,0.0,0.0,0.0,74886.72058453975
2022-01-05,75041.67885564658,32169.190529898773,120002.58989409436,75040.43059930137,75043.05984655478,-18.686271195463622,-18.686271195463622,-18.686271195463622,-18.686271195463622,-18.686271195463622,-18.686271195463622,0.0,0.0,0.0,75022.99258445112
2022-01-06,75037.35700493437,30085.408973105423,117947.19881208337,75035.26831916752,75039.59966402336,379.4685817100764,379.4685817100764,379.4685817100764,379.4685817100764,379.4685817100764,379.4685817100764,0.0,0.0,0.0,75416.82558664445
2022-01-07,75033.03515422215,32910.16969392083,116872.15228713253,75029.7175622622,75037.0938208858,-16.229961672671447,-16.229961672671447,-16.229961672671447,-16.229961672671447,-16.229961672671447,-16.229961672671447,0.0,0.0,0.0,75016.80519254948
2022-01-08,75028.71330350993,30357.24278720726,120026.25224622441,75023.92892371312,75034.29893188394,57.45887455699499,57.45887455699499,57.45887455699499,57.45887455699499,57.45887455699499,57.45887455699499,0.0,0.0,0.0,75086.17217806692
2022-01-09,75024.3914527977,27104.599051072433,119216.329787798,75018.07036373974,75031.99357692864,-25.138475343335216,-25.138475343335216,-25.138475343335216,-25.138475343335216,-25.138475343335216,-25.138475343335216,0.0,0.0,0.0,74999.25297745437
2022-01-10,75020.06960208548,30906.543162090056,117496.84219500428,75011.7995666301,75028.84436204437,-217.59262623613643,-217.59262623613643,-217.59262623613643,-217.59262623613643,-217.59262623613643,-217.59262623613643,0.0,0.0,0.0,74802.47697584935
2022-01-11,75015.74775137326,29026.750760863182,120029.77875843104,75005.46763391439,75026.24405723966,-159.28012181941983,-159.28012181941983,-159.28012181941983,-159.28012181941983,-159.28012181941983,-159.28012181941983,0.0,0.0,0.0,74856.46762955384
2022-01-12,75011.42590066104,32838.83844175525,121370.22184249246,74998.92948466146,75024.35546300282,-18.68627119559966,-18.68627119559966,-18.68627119559966,-18.68627119559966,-18.68627119559966,-18.68627119559966,0.0,0.0,0.0,74992.73962946543
2022-01-13,75007.10404994882,32104.313863002404,118858.21349687772,74992.17024275372,75022.46601508779,379.46858171003186,379.46858171003186,379.46858171003186,379.46858171003186,379.46858171003186,379.46858171003186,0.0,0.0,0.0,75386.57263165884
2022-01-14,75002.7821992366,28360.915382328643,120903.8123923516,74984.69791268128,75020.49953848345,-16.229961671489814,-16.229961671489814,-16.229961671489814,-16.229961671489814,-16.229961671489814,-16.229961671489814,0.0,0.0,0.0,74986.5522375651
2022-01-15,74998.46034852439,30050.889524582177,118998.93553220731,74978.49662777994,75018.17348904953,57.45887455685409,57.45887455685409,57.45887455685409,57.45887455685409,57.45887455685409,57.45887455685409,0.0,0.0,0.0,75055.91922308123
2022-01-16,74994.13849781216,32598.81493217363,119786.92227990837,74971.22166018015,75015.97235717776,-25.138475344030322,-25.138475344030322,-25.138475344030322,-25.138475344030322,-25.138475344030322,-25.138475344030322,0.0,0.0,0.0,74969.00002246813
2022-01-17,74989.81664709993,27288.705726264747,120088.96531496503,74964.10855488897,75014.64742321748,-217.5926262364747,-217.5926262364747,-217.5926262364747,-217.5926262364747,-217.5926262364747,-217.5926262364747,0.0,0.0,0.0,74772.22402086345
2022-01-18,74985.49479638772,30604.131279656092,118704.63969325746,74956.96255843491,75012.87014284394,-159.28012181977806,-159.28012181977806,-159.28012181977806,-159.28012181977806,-159.28012181977806,-159.28012181977806,0.0,0.0,0.0,74826.21467456795
2022-01-19,74981.1729456755,27951.710982246022,118224.65812614959,74949.82505766099,75012.1269426989,-18.686271196538787,-18.686271196538787,-18.686271196538787,-18.686271196538787,-18.686271196538787,-18.686271196538787,0.0,0.0,0.0,74962.48667447896
2022-01-20,74976.85109496328,32468.08526673404,120844.29078872339,74941.95840138555,75011.59260046274,379.46858170998735,379.46858170998735,379.46858170998735,379.46858170998735,379.46858170998735,379.46858170998735,0.0,0.0,0.0,75356.31967667326
2022-01-21,74972.52924425105,33076.73977779413,122514.56664840519,74934.79534870468,75011.06531700311,-16.229961671951077,-16.229961671951077,-16.229961671951077,-16.229961671951077,-16.229961671951077,-16.229961671951077,0.0,0.0,0.0,74956.2992825791
2022-01-22,74968.20739353883,25593.043275259544,115303.31019720901,74927.2105744025,75009.63192235334,57.458874557390615,57.458874557390615,57.458874557390615,57.458874557390615,57.458874557390615,57.458874557390615,0.0,0.0,0.0,75025.66626809622
2022-01-23,74963.88554282661,32768.884159849804,119087.65801505273,74918.99747651319,75007.81675950385,-25.13847534308036,-25.13847534308036,-25.13847534308036,-25.13847534308036,-25.13847534308036,-25.13847534308036,0.0,0.0,0.0,74938.74706748353
2022-01-24,74959.56369211439,31057.763996026046,119393.2683875604,74911.61394009358,75007.40846988664,-217.59262623676366,-217.59262623676366,-217.59262623676366,-217.59262623676366,-217.59262623676366,-217.59262623676366,0.0,0.0,0.0,74741.97106587763
2022-01-25,74955.24184140217,28841.199305988426,120715.15847051807,74903.75429322485,75007.71229515588,-159.2801218188812,-159.2801218188812,-159.2801218188812,-159.2801218188812,-159.2801218188812,-159.2801218188812,0.0,0.0,0.0,74795.96171958328
2022-01-26,74950.91999068994,31708.85590608535,122185.90598998866,74895.6307821011,75006.43091908975,-18.686271196348784,-18.686271196348784,-18.686271196348784,-18.686271196348784,-18.686271196348784,-18.686271196348784,0.0,0.0,0.0,74932.2337194936
2022-01-27,74946.59813997774,27730.116643791942,115971.96715469453,74888.5192016426,75006.07155168075,379.46858170998286,379.46858170998286,379.46858170998286,379.46858170998286,379.46858170998286,379.46858170998286,0.0,0.0,0.0,75326.06672168772
2022-01-28,74942.2762892655,32146.221715060852,119829.65335335744,74881.35887114059,75005.81794717236,-16.229961672014145,-16.229961672014145,-16.229961672014145,-16.229961672014145,-16.229961672014145,-16.229961672014145,0.0,0.0,0.0,74926.04632759349
2022-01-29,74937.95443855328,29776.681357087993,115413.35676300689,74873.13499852698,75005.60629860367,57.45887455792716,57.45887455792716,57.45887455792716,57.45887455792716,57.45887455792716,57.45887455792716,0.0,0.0,0.0,74995.4133131112
2022-01-30,74933.63258784107,29350.78016817277,118374.97116003072,74863.09564848704,75005.16592767701,-25.138475343446096,-25.138475343446096,-25.138475343446096,-25.138475343446096,-25.138475343446096,-25.138475343446096,0.0,0.0,0.0,74908.49411249763
